size,bedrooms,bathrooms,age,garage,neighborhood,school_rating,price
1094,4,3,1,0,North,5,618732
3744,2,1,43,0,West,1,1160619
2711,3,3,58,3,West,2,962479
1233,4,3,52,2,North,8,578426
3594,5,1,7,3,Central,10,1372560
4767,2,2,67,2,East,9,1485606
2385,3,3,78,1,South,1,806491
2038,4,1,86,0,North,2,664497
4420,1,3,58,0,South,4,1351049
4990,2,1,14,2,Central,9,1622256
3921,5,3,8,3,West,3,1524835
1344,1,2,32,2,North,6,477470
4265,4,1,96,2,Central,1,1340707
2131,3,2,46,2,South,9,775124
3484,3,2,3,3,Central,5,1277540
2133,1,1,83,3,West,9,585846
4123,5,1,92,2,West,1,1344723
2135,2,1,93,0,West,5,590015
3528,4,2,40,0,Central,9,1242710
4242,4,1,55,1,West,3,1405718
4532,4,2,76,2,North,1,1485836
3115,4,3,50,2,Central,9,1154354
3322,3,3,61,2,North,7,1141492
3074,5,2,96,0,North,7,1034679
3968,2,2,86,3,North,2,1213127
3576,1,2,6,3,South,7,1206682
1794,4,1,37,3,Central,2,721136
2997,1,3,59,2,West,6,941380
2990,5,3,46,1,East,10,1159252
1530,2,2,71,0,East,5,478862
2003,3,1,30,2,West,2,731755
1927,5,3,27,1,South,5,879903
2209,4,1,37,2,Central,5,845358
3340,3,1,89,1,West,7,1020995
1641,3,2,42,0,Central,5,626887
2038,2,2,92,0,North,3,595051
3844,1,2,23,2,West,8,1244035
1599,1,1,56,2,East,2,464785
3237,3,2,11,0,South,10,1153274
3177,2,3,1,0,South,5,1134314
1694,3,1,33,1,East,9,630715
4085,5,2,88,1,North,5,1368702
1472,3,3,37,0,Central,10,603411
2607,4,1,24,3,North,6,986005
1192,4,3,84,1,Central,8,483362
1752,4,2,84,2,North,5,633477
4804,4,2,54,2,West,4,1616352
3707,1,3,80,1,South,8,1101183
2780,5,1,10,0,North,6,1097666
4976,3,3,81,2,West,5,1598109
2106,2,1,36,2,South,3,711055
4304,2,2,20,0,West,7,1406772
3072,3,2,89,2,Central,7,977593
2165,3,3,27,0,West,8,831865
3086,2,1,12,2,Central,4,1042992
3026,4,3,14,3,South,3,1192328
1804,4,2,81,2,South,2,650497
4481,4,1,9,0,North,5,1566171
1805,3,2,3,0,South,9,750557
4879,1,1,72,2,East,9,1417653
2735,1,3,36,3,West,6,916956
3796,4,3,71,2,South,1,1300640
4351,1,3,77,3,Central,2,1327406
2700,5,3,96,1,South,1,970286
3288,3,1,79,3,North,10,1039755
2306,2,3,97,3,Central,6,708211
1114,2,2,31,2,East,10,456024
2770,2,2,73,3,Central,7,867242
2485,2,1,64,2,East,10,769854
3734,1,2,0,3,East,1,1254574
1721,5,2,22,0,East,2,773423
1657,4,3,13,3,North,7,787559
4092,4,3,11,2,South,2,1512077
1389,2,1,6,2,North,3,548776
2067,1,3,91,0,Central,2,585889
1759,5,3,0,1,West,1,877267
2420,1,3,15,3,Central,3,861525
1831,4,3,48,3,South,6,766007
4900,5,3,59,0,East,9,1684701
3903,5,3,44,1,Central,5,1433226
4538,4,2,18,1,South,10,1596591
3004,3,1,65,1,East,6,956849
2315,2,2,63,2,South,7,745419
3775,5,3,83,2,South,9,1321588
3109,2,1,50,2,West,5,990367
2075,2,1,47,0,South,4,662247
4414,1,3,62,1,South,5,1350928
1540,2,3,49,3,North,10,580656
3601,5,3,55,3,West,10,1335530
